"wallet,""total_points"""
"0x3bf6195dfc6248ca319a5a4b1f554ae9a2582c4d,""835"""
"0x3bfc16eab1e1621d3afd785c3c7670acdc21ca7d,""14898"""
"0x3c19196c5ac438402864fa1c330b58e52d68d6b3,""3252"""
"0x3c1e128f6f1a5fa3f934b8cc789452f7a591e055,""10763"""
"0x3c2476f2a224bf4dbd2efcc58554c5849fb8e097,""163"""
"0x3c2978ae8a1dfc351c7caa06ae7314bce27de7fb,""1163"""
"0x3c3444f44c64b2b74cbc05a5790115994784cf90,""43"""
"0x3c3ce8788ca6696adae6af9ccd9066841299ce87,""17083"""
"0x3c457678bd9a5cc772155331939d83f752158ea5,""829"""
"0x3c45ec7d42e201773027b1969c9d4a4d48c87d38,""43"""
"0x3c4d38cd39cf9527e16941ad244d49db5f84e61d,""163"""
"0x3c541ea40289f862f90e059571b18406213e3bc8,""309"""
"0x3c5a3556b309060d2a8012b863bf11de7cd4e8f1,""283"""
"0x3c7dabcc0a13d3ec5a501357a26f29ff0a456d75,""2770"""
"0x3c7e0dfaa52bb43cfb7e5f02a1f83feae095cd77,""705"""
"0x3c7ef677d1fb7894957d0096f7176c1fedac9dd8,""127798"""
"0x3c87c67f15b81ee98afbd12ce7108106d2f3d4e2,""16343"""
"0x3cb572c13729d16b177c9bc574a7d537eb59384b,""43"""
"0x3cb60c178f8165bf31f368ed3f1bafd8cf8f15cd,""163"""
"0x3cc6860f0918f29718e0848e1e68d02340231286,""441"""
"0x3ccce55d99b67b0cc2092031be7bbe2c3289b475,""146"""
"0x3cce06d5b1be13aef8e74e8c2f129570a216a105,""2423"""
"0x3ce020839bca572d67fbf2029aa0b7bf43744122,""43"""
"0x3ce4b46c5f37213d30707a88bfba16dba8223c9e,""319"""
"0x3cea4fe38e6703b23cd5e26c22d50a0571b2df1d,""14243"""
"0x3cedc02eb1dbd1ba1968ef98f17a122b80d82ad5,""43"""
"0x3cf04314dcfd384e19212816a2fcfc606c956003,""43"""
"0x3cf4abfe415c76f1c19526d1b9b85058cb3ad0c1,""857"""
"0x3d01ea73a4171842fb7de23679cccca49dc753a4,""18603"""
"0x3d089bb24973a59be141abf65f9ee827819f915a,""5832"""
"0x3d0c209a17fa9f4f5b8c269228a119ba0b2bb3e8,""43"""
"0x3d22beb42d5ed3f715b3af4abdadc5421fa11295,""17403"""
"0x3d38316f4a0bfad6954314843b0bc8e2088f4960,""43"""
"0x3d460c3124f1985b2b3aec83afb6155cbfa20c8f,""1640"""
"0x3d4a9ca8d98d82c238dd9ca28dffd453eb3334eb,""1129"""
"0x3d5b441fa4c3e3fa97e044d598ffc4f9d5b29345,""702"""
"0x3d72dbaf507ff6bcce06e06b34422111dfbfacc0,""43"""
"0x3d777c489ec43ca155c89184bbf12b91d1320383,""283"""
"0x3d77d5e884998d2a9ce14adbc1a6eb0e518fdeeb,""63"""
"0x3d7b9b2fd7c5c0b694a4c697e719bc9f404cd760,""549"""
"0x3d85bb9e74b2fc93849b05405ff91cece4764d5a,""43"""
"0x3d89052904b40dad9758f851b83ccb12f84c8afd,""163"""
"0x3d9d692849f96c641a3812ace434882b2c186ff3,""14103"""
"0x3da551c79b52da57aa8351e8a8362c5afe2e1f74,""17563"""
"0x3dabcbabf2d6e33b061c477b45f71f23de43f8a6,""283"""
"0x3db8a1e9e64524d288c25db309d211ba6b465b11,""852"""
"0x3dd38a4737c6e7887c1379c04e7eb40144b75157,""17563"""
"0x3dd70eb9681cf04b9f4a5e7eebdf9e78a956c9a1,""63"""
0x3ddae4a4d92964b35d6a87d348d2bc62e3d52798,NULL
"0x3ddfe8076810a1e078bf00f59543109489f63e7b,""725"""
"0x3df0b53dcdd8182d80976da400ec442660ddb42d,""6667"""
"0x3df6da31246ea1b698346aa2dccf48288dd1daef,""852"""
"0x3df7eee252437a19ebc96d9da25b7c8d0a7c9539,""16283"""
"0x3e153ba6ff4143dad6fa4bda02794e10526672bb,""10429"""
"0x3e17eeeab803e259948bba143a642dab81a5fa55,""43"""
"0x3e1cb994c0bc8c67eea2eaf554d70436988f1e38,""43"""
"0x3e3a4d2a69e8df4d7f49720c300d23cb90e3387e,""475"""
"0x3e42564b5ae1fac37504627ddb346c29a7d876f1,""112"""
"0x3e47928d11f81f47ba294b6ef6ea3a2b0cbfc3ca,""656"""
"0x3e6432c1d4d3da140fff7d9202476020461b32aa,""883"""
"0x3e674346f7787d6c0777cf6adaf90851ba1a1389,""283"""
"0x3e6dd3471b7c6fb15a6ad7829be191e69d0f5cf7,""43"""
"0x3e6ef2b5d198d8f04ceaaddefe31ebf312fe12ec,""3309"""
"0x3e767278a4388a0d5956bdc513e2fae6c55c93ea,""748"""
"0x3e77ae1b2c2a4ff2966c0df9bffe909865060825,""217"""
"0x3e7a1252639b28efaccee3e2bda929b590562e46,""186"""
"0x3e7cfdd73c09adafb44092205bfe617d136f873e,""283"""
"0x3e7fa7ee12903ad811c64bf531a47878b4dfc0b3,""210"""
"0x3e854b2d6582dc1784f142603d5e90908a5d43b9,""15003"""
"0x3e996742c33ceac3bb44d4af7f540ca0ffb99a95,""12043"""
"0x3eaaf0f98c5b2f053c412d6310785802422b9e9d,""14923"""
"0x3eb84a12b9b44ffbec21fb049b61b4ce4cbddc2f,""852"""
"0x3ec133726de5929c2179d3345dea49ab4d54e1a7,""263"""
"0x3ec592d0f76e9a95214b2852eb9b6f0cb067f5b2,""43"""
"0x3ed3ac83f224545778f7d9d58a95143cf286f953,""163"""
"0x3ed9dfdf1c07de50c424bc0a7f46a1f237a853ea,""66"""
"0x3ee5702db4c3270f032c1a418beac569eb60039f,""43"""
"0x3eec26be8bd391e8a5ad66ff94a7c768e7508192,""835"""
"0x3ef83ffa4a8448267b4f9b12df7cbec71d3607a5,""13863"""
"0x3efa03765a52dcfdcf969e84f7d90fe238a06cf8,""139858"""
"0x3f013854419a4733349bed07d766c43f033fdabd,""11069"""
"0x3f03a38c09a478a4662e36b8a077dce6c45e4d5e,""19963"""
"0x3f0624c25877343355112bb3d5b7bd6dab9907ad,""146"""
"0x3f08bf7670111686da3a7ce744679460bfca315e,""43"""
"0x3f0e81b9b3ed8091eb90156fa7493e12eed8c994,""2796"""
"0x3f154c0bbaad3f9c0ef51252f45b0e3e5d3b4a72,""1435"""
"0x3f1b8cc5481c74c78799245b5497006a3f086ffa,""283"""
"0x3f2919a4844d3f519a671ca5c8bd52570f1b4243,""1193"""
"0x3f29fb771bda4582d8af9ef6431e6bc6580b4342,""17523"""
"0x3f2b196908757f833aaf9321baf6964f3dfe7e5d,""105"""
"0x3f30c230b628b49e100c67636f91332a513e191f,""43"""
"0x3f34b1093a30e690228ec5dac2de29c628f0cc5c,""66"""
"0x3f3656071cbca2028c8bdce67729ebd00fded23b,""719"""
"0x3f3daef2247d44672fb1d6d4377febaa4b9484ba,""163"""
"0x3f423c69c110f135e6d053d0049dca46e56c0674,""10412"""
"0x3f43f696dc26bcc790b16b1236140f014891a3a0,""17943"""
"0x3f535dbf3f87e5542291d646b0fd2c7c91b0ff72,""123"""
"0x3f601b1f7c4295ed9a92a110a68aed365abd6865,""266"""
"0x3f71aa440c01f9a900b1793c3e020e9972329b7d,""43"""
"0x3f8eec8c2cc23953fa511389c9cb633526d4eb1c,""263"""
"0x3f998e474ad08f7a52b399008697ff62e477b32d,""43"""
"0x3f9ed7e6019a615aad977c7d2de8803ddc3fc176,""18161"""
"0x3fb9c19cc9305b38670387ab5fd134c603f85f1a,""163"""
"0x3fcf88e6c68a0b3a282757d4c04252683acfcb1a,""43"""
"0x3fd0ddf882148a650c5d3a14939f1bd2a69b1dad,""43"""
"0x3fd6442d2a852aa2984d954e5e6f96c2289b67ee,""43"""
"0x3fe6fd488162bdbcfeb117c08b9a1b42c1f52f51,""6802"""
"0x3fe92634bea0292a0cb1082828b43296866d952d,""874"""
"0x3feccda54fb3ec5ac1478d26bab210a251304399,""43"""
"0x3ff3b32e20cc3e7aa1b0d89852274704e6b55728,""243"""
"0x400bd9d52f7bb10aa2b8bfd8e94fddc1c5f138b8,""19363"""
"0x400c4fa617ee090570b8a27e5db897f0e95d43ac,""12843"""
"0x400d4d7775f69395d7c9430d4d62156893fc1b43,""424"""
"0x401547d9f031d375bae39f600d071bb9f9dfb860,""1783"""
"0x401c914ce1025241e56f0f71bea556a32216722d,""203"""
"0x401e49d869c641ef8a9df9ece1e6502f48778067,""43"""
"0x401fa1d6193e0ac6b868a7dafdbe572a74a6ac7c,""43"""
"0x402babc44f213a991b84afe2c0551fd10471d106,""43"""
"0x403e9bf444ebdf0eca546e65ffb6c1d865e5373c,""15543"""
"0x4056c1e60bc45dbcca5c8355da31cd76e50b5673,""43"""
"0x4058ab643b575cf2a7b6044809b54b681caeb5c5,""43"""
"0x40752a5ab6f11f6ba84a96e51d16cd4ecec6db90,""283"""
"0x407e33ba9cd286faa42ea935ea494ff5baddc09a,""232"""
"0x4080bb838fb30d669f9caa8870918af723518330,""762"""
"0x4086436e055ec90d79c422cfc7fbe865c45ae909,""283"""
"0x4086fee7403de2c8fdd028f45cd07ae4ea37f80d,""1763"""
"0x408a1b9171708b557439dc930392a16ff08e33fa,""246"""
"0x4099f13087c5b159c1bf83c085ddfb3bc8e660dc,""263"""
"0x409cefe41788180417c734f7e7a40b85ba27fdff,""43"""
"0x40ab0ebbc6c7716bc038ab2fa73ae115618c48d6,""163"""
"0x40bb64e1bc96355dabf6869c26e03840428edd90,""43"""
"0x40c84ad878fb2b463a72d1c8f6da40bf77329195,""720"""
"0x40cba71e4161ece189c0bc7d734c2cf814bd1516,""17863"""
"0x40cba87e32695b2f657e55da527df13b2eafc45e,""43"""
"0x40d5bf285f2843dfe34e8267ea76b5662652aece,""15943"""
"0x40df08a98fe7d6487ef8bb5da47ef9a09762df0f,""17283"""
"0x40efe1b9bf7a88710311c93e19bd94f522df9aa0,""633"""
"0x40f39614ac22448216a5ec5e9a6034163a4ba366,""16283"""
"0x40fe625536fe90e8c477b2023634fd3b06a5e568,""16343"""
"0x41079ea56ed20565cad39ea406581d2ab967daa9,""737"""
