"wallet,""total_points"""
"0x1d5315dca9142922f7c3109cb8a3f50002de23ee,""123"""
"0x1d6b934e73aee396a2f4df634eb3c3d33aa0b6ae,""89"""
"0x1d7c0ed28261086717c786b90d81a7bec79156dc,""43"""
"0x1d82fee67272c129cddf30ed5ed4c3b486a5c428,""9972"""
"0x1d902cfc928e086b2534540b1043d28100d0aef5,""412"""
"0x1da43b6356680848c94288cb66cbd9ed71062302,""43632"""
"0x1dafe65cba6bc0de71ed536e7b4a3381b8331cfe,""43"""
"0x1db034c246d4a4ce48242183526c5b9122b32686,""880"""
"0x1db53404771f11d46166608a1e765b8ef909ec7e,""43"""
"0x1dbd61469744d9931cf04ead140a5771b7fe3acd,""352"""
"0x1dc8ce1afe9aaf0485d3cc02010cb0fc7025c877,""1440"""
"0x1dd31e2bed0eb8bafbfca4dee96a53f0b9e24c8c,""1060"""
"0x1dee1cd5be6a054321626018cb6012793798209b,""12596"""
"0x1df4a7293c10847399a97c1a772a75f5fb87bd9b,""63"""
"0x1dfc13d6d3c2612b22941fe9e8af7836b6f38b54,""43"""
"0x1e0a1d1c6647027623516c1f7e86b77143d28e10,""283"""
"0x1e0efc204015824e32850165159ebb65b8f71053,""19183"""
"0x1e11fabd4d8f96adfc8f623b7ee74802ff47a9c7,""1596"""
"0x1e139acc6a25788a63173a245ca394764e2a12ce,""43"""
"0x1e35266a834c5c69152725a7c728983d6826856d,""12843"""
0x1e506eaF1a3ec56F0eB0A7362543eaeC25838D31,NULL
"0x1e56977106f08fd18ac8b835f61d8f66e5f8cded,""283"""
"0x1e5ee05bf4735a9fbbdddd28d974935fe207be8f,""25945"""
"0x1e7602846780da6df7f84a0ded968daa65986ece,""598"""
"0x1e7ed77f02c8e4c16647abcf2a8850b9ae9574ae,""5832"""
"0x1e9977f08a6a66135d946dc3cbe236ca54d3ea00,""206"""
"0x1ea31ef83a51bee04fbc5325ec5377ba2264e279,""203"""
"0x1ea5ddc15322da84509cc9296fc157364c7b0a3f,""43"""
"0x1eb5cf57f803799be7995df50c6ef0e32f45a500,""726"""
"0x1ec204851019928ce64079d30e0946d7e4914450,""163"""
"0x1ec4c0df408b22d5d9d0cf58a0ced42391379e8f,""465"""
"0x1ecab01075f3bdf1b56b7d849c8e28ef88943624,""1113"""
"0x1ee1f83ae244c7b432df85f667ff074777d11171,""43"""
"0x1ef431f36c594841f28bf1590c7d59fdbd6203d8,""43"""
"0x1ef87feeb0dbc5057d9b832e8a424d08fce771a8,""26498"""
0x1efb6ab640a066ae0ce3c8e2c826a49dee9f021b,NULL
"0x1f017e17f774c57cd41f264692fb8353770a7274,""163"""
"0x1f0ba50de7d7fccd278f22baaa5363133fc28a8e,""66"""
"0x1f0ec7604918c41338815bc9fc61dcfca047d8d1,""43"""
"0x1f1314d6252f1742ca8e38a45c9bfc389971b39e,""19612"""
"0x1f4deef305dc89ae729d69a743929218b2527022,""263"""
"0x1f71e44050620258806c2b3855d1717deeb74a72,""43"""
"0x1f721dc499b5b39c759a66bc8bad3d066de1a6f7,""349"""
"0x1f747e745afcc8669798a43ea62bc15ea643f1b9,""426"""
"0x1f7b603c4711ded49c43e3c59e092eb3c0b72e61,""739"""
"0x1fa89d4a77273db4379cf9c9e4050cab76c45dd7,""478"""
"0x1fc2ef6bde0007c565cf85cc01de93f2dc820f9c,""183"""
