"wallet,""total_points"""
"0x58b919073b48bae5d479a8a06cd963e103b1f37a,""10710"""
"0x58bacfda5cf8c3940f0f6ff6071464c85e8571e9,""163"""
"0x58c12dc58b3e3a213c3592e8f0c86b15e4c2355e,""43"""
"0x58d7762f8062441d415f7d240ac595cf415f7756,""103"""
"0x58d91cdd1a661de2caed1aa6a40cbdbbbaaea6a1,""43"""
"0x58da84da287a0184d4053a6a1382af281ede2307,""43"""
"0x58de59a1f2f7f386fa8f30de60957ff8f1e65227,""9089"""
"0x58e25f90607f12a145873251428d44252860235f,""14803"""
"0x58e38cad903eb8afb959b43e984b0f485fc51a14,""163"""
"0x58eb5d76db6e3e3b669f101b660cf3754af38c79,""263"""
"0x59070a7f7ac9f67c53804d2c08ef2ae680b5146b,""740"""
"0x5912dc2cced00bd3c4842814d75c2985eae63c31,""306"""
"0x593279669eb030dc1d4119d33ecbd79fda502907,""1669"""
"0x5937bf323ae1414610747b1d3234fd2b935a3d3b,""43"""
"0x5946c5cb4689af428c49d08d5e96606a7090e3bd,""834"""
"0x594eab95d5683851e0ebffc457c07dc217bf4830,""43"""
"0x5951fd84c5984e01015f73a7d2dafda4024d8b17,""66"""
"0x597ed931e40d17283954c7dda2f7aa31fe1c76c8,""43"""
"0x597f31cd8622ca08eb60d1969533208847dfa7b9,""11391"""
"0x59801214e003dba7c5180d5242c389dded543814,""6345"""
"0x5998aa2227b13afe75709cfa8dee0671e3cb11f6,""17842"""
"0x599a14b120c1177621e544e469b7e9ed499acd1e,""66"""
"0x59a0513e7ee60a24bcf59397b707c6e88bc75a52,""243"""
"0x59a761949784573fdc0f812da92d39c55cdf0b7f,""43"""
"0x59c4a0db3eb175f3082d74a555faaa5683a48490,""43"""
"0x59cb3829b42a209ac34d47cd6f691c0823c26d03,""283"""
"0x59d0caedf1c44f4344a62973c2a64cbb230fa28b,""283"""
"0x59f0ba177fe7fea67f810da8a36b5a489d4f63c8,""43"""
0x59f9f169221861cb2ef53c205b4245b8871b9970,NULL
"0x59fbc53197068300f93d36b8f93881ae85180c8a,""20731"""
"0x5a077d2dd86d71f4d4cba4213ff14f04307936d1,""12783"""
"0x5a1085dac4e372e326ce0784617700c73f6567a4,""1039"""
"0x5a164966316c84c4f56f28153407941a79b32652,""43"""
"0x5a1892b8d2b454378c461f4941bdb01d4a931aa6,""43"""
"0x5a1b7b3d37ea0b98f17d842599866f44830c8e27,""43"""
"0x5a24a1197ea8819adfe27702800adf669e57e57e,""163"""
"0x5a2a2c555f5662625e3ff4f4c8611c98875b601b,""163"""
"0x5a3801545b21c0a713a07220182b6e4265a0a159,""246"""
"0x5a3d2add59e653ffbea338423f0da7d1b9fe9422,""7189"""
"0x5a53a269f9d6f827d079f0cd5e5132bc903f30ed,""1101"""
"0x5a6321c38809ed2da15d8474a7101e64ef84d43f,""143"""
"0x5a6aebfcb60463d647424fddad4ec9961d3126d0,""163"""
"0x5a800f6b235f5946f0920cf187f328cc84bae40c,""17703"""
"0x5ac38174326f93a4492bee193e00001858f91eaf,""209"""
"0x5ad5c5d10864175bdbb44e8a37262d79868baaca,""15323"""
"0x5ada81d35a29706c548b019a7eea62091c9f6bf8,""43"""
"0x5adc21ac78fc693d8db9a14dafb7587a439ee53f,""929"""
"0x5adc82b4ecd2f5a52023e6bd6911fdbf9bed9f4e,""3169"""
"0x5adde2178da3a9949c3f16ccc534ae3ea5eb7df8,""43"""
"0x5af6f8831a7b8372ad3cb7db7586791efc92a366,""283"""
"0x5afa2d6fc6a0daa41e1e6fbbe7f83604a9fa0101,""263"""
"0x5b02ece8457d57ab86b70b041851c67f48895877,""349"""
"0x5b03c669a1c079ffbc209020fb45bd55d5762a09,""163"""
"0x5b080ee23836dcdff6e2146e2311c950a18a9afe,""183"""
0x5b26ca8acc29e45bff9f356174d12137041c09dd,NULL
"0x5b3c049f24cb2bfd7ebc10a430b88eb7327c09c6,""43"""
