"wallet,""total_points"""
"0x97356180b2b85e28b226e233aeccff7d15ba5a3f,""16507"""
"0x973cefb00f3320e9a04f49a2da3662185746451c,""1183"""
"0x976c5af76fbde61ceee3e8ed3abb833a9a305d35,""43"""
"0x9777529078b59a018b285e491f1831a3ccee6089,""283"""
"0x978c3f9978e87fda40fe5fa639daf87e5a936287,""126"""
"0x97912628e87c733cd3a67958ce897b3e937984f5,""2423"""
"0x979735fd0e379388e34323f8a84b2aea32c01a9c,""17683"""
"0x97b4fc3d7c8fb3316c107a6244bbc53b173bff9e,""220"""
"0x97dc57c4c709e4ba9617518ee9d06fbae641bf47,""43"""
"0x97eb5d27d3926e73bb8f7eb6a11c863ecfa2659c,""16823"""
"0x97f53f0415745469b553b5d2b2cd5549093ab79e,""1279"""
"0x980774ba9fd17573e935ad061578617b3b396c13,""1189"""
"0x9808444def532e9b2ac8aedd3335550db45f9178,""1290"""
"0x980884cf08cb551aaa430b833836b7b6d9a38154,""123"""
"0x980e5f15e788cb653c77781099fb739d7a1aeed0,""303"""
"0x980f7a23d4a93e871144240f62717ff60e70f2d5,""223"""
"0x981de8d9c6505f12cb9519a41b0585003392f07e,""63"""
"0x981fdfd845651b924caa4647081e711b5aa4ccc0,""223"""
"0x98448e61c47f713df0eb2ef9cf89421035d51193,""943"""
"0x9845c6a98e7e1b826b502c52b958a26c0854c671,""1228"""
"0x9855179ce9ce32ac9844eec0e6b837c55bdc1f34,""106932"""
"0x985f54d03555b892db3c04e5765d21683c6c4be3,""323"""
"0x986ed38b78cad334edcf415b1686dcff7a0b865a,""43"""
"0x98738f3f65adef480deb0995ca9520d656057496,""43"""
"0x9884c138de43a35ac213eb604d4b7e20647ece14,""43"""
"0x988b4323826608bc2597eb36fd44e28b48554731,""43"""
"0x9890ee2bfc81dc9247826a529e95e8df5444875a,""83"""
"0x989a7e818d880fc4cff740ab683b1731d426f47e,""16063"""
"0x98a41885814b267251e84ed3eac6d794ff5bd42f,""2816"""
"0x98a53088e70a8f21f5df922dfdf84b87288810de,""283"""
"0x98a5b5ca0e6da45bb2b9ba831b35905dce529d29,""43"""
"0x98b8266ff5dbef1d62bdaf8de50ba03d24b87235,""27008"""
"0x98c6bb40e15f7f38d9b99901d692c8b709886f55,""791"""
"0x98d57401a477f922d06489f76c879b9231f7b9dd,""4486"""
"0x98e40bf4ec988faf8b32e46ac4d7c3882c8233fd,""283"""
"0x98ea3a46f6871a44ea88631fb7405edcee7b7a53,""43"""
"0x98ec45303ab193dd90f70d31ae00458d2fbd5a77,""19523"""
